Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2024-11-11,145.24998474121094,145.25999450683594,148.85000610351562,143.57000732421875,148.67999267578125,182325600,NVDA
2024-11-12,148.27976989746094,148.2899932861328,149.64999389648438,146.00999450683594,146.77999877929688,198634700,NVDA
2024-11-13,146.25991821289062,146.27000427246094,149.3300018310547,145.89999389648438,149.07000732421875,191903300,NVDA
2024-11-14,146.7498779296875,146.75999450683594,149.0,145.5500030517578,147.63999938964844,194463300,NVDA
2024-11-15,141.97021484375,141.97999572753906,145.24000549316406,140.0800018310547,144.8699951171875,250132900,NVDA
2024-11-18,140.1403350830078,140.14999389648438,141.5500030517578,137.14999389648438,139.5,221866000,NVDA
2024-11-19,146.99986267089844,147.00999450683594,147.1300048828125,140.99000549316406,141.32000732421875,227834900,NVDA
2024-11-20,145.87994384765625,145.88999938964844,147.55999755859375,142.72999572753906,147.41000366210938,309871700,NVDA
2024-11-21,146.65989685058594,146.6699981689453,152.88999938964844,140.6999969482422,149.35000610351562,400946600,NVDA
2024-11-22,141.94021606445312,141.9499969482422,147.16000366210938,141.10000610351562,145.92999267578125,236406200,NVDA
2024-11-25,136.01063537597656,136.02000427246094,142.0500030517578,135.82000732421875,141.99000549316406,344941900,NVDA
2024-11-26,136.9105682373047,136.9199981689453,139.3000030517578,135.6699981689453,137.6999969482422,190287700,NVDA
2024-11-27,135.33067321777344,135.33999633789062,137.22000122070312,131.8000030517578,135.00999450683594,226370900,NVDA
2024-11-29,138.240478515625,138.25,139.35000610351562,136.0500030517578,136.77999877929688,141863200,NVDA
2024-12-02,138.62045288085938,138.6300048828125,140.4499969482422,137.82000732421875,138.8300018310547,171682800,NVDA
2024-12-03,140.25033569335938,140.25999450683594,140.5399932861328,137.9499969482422,138.25999450683594,164414000,NVDA
2024-12-04,145.1300048828125,145.13999938964844,145.7899932861328,140.2899932861328,142.0,231224300,NVDA
2024-12-05,145.05999755859375,145.05999755859375,146.5399932861328,143.9499969482422,145.11000061035156,172621200,NVDA
2024-12-06,142.44000244140625,142.44000244140625,145.6999969482422,141.30999755859375,144.60000610351562,188505600,NVDA
2024-12-09,138.80999755859375,138.80999755859375,139.9499969482422,137.1300048828125,138.97000122070312,189308600,NVDA
